ClubOfficialId,Sport code,Aanduiding code,Aanduiding,Competitiesoort,Klasse code,Klasse,Poule code,Poule,Intern wedstrijdnummer,Wedstrijdnummer,Elftal,Elftalcode,Sorteervolgorde,Thuis teamcode,Thuis team,Gesl thuis team,Thuis organisatiecode,Uit teamcode,Uit organisatiecode,Uit team,Gesl uit team,Wedstrijd,Thuisscore,Uitscore,Wedstrijddatum,Wedstrijddatum (niet geformatteerd),Aanvangstijd,Accommodatie code,Accommodatie naam,Straat,Huisnummer,Toevoeging,Postcode,Plaats,Telefoon,Veld,Veldtype,Veld/Zaal,Info,Arbitrage opmerkingen,Tuchtstatus,Bijzonderheden,Code buiten mededinging,Buiten mededinging,District,ClubOfficialId,Wedstrijdstatus,ClubOfficialId,Internetstatus,Sport omschrijving,Wedstrijddetails Code,DWF wedstrijd?,Verenigingsofficials,Bondsofficials,Scheidsrechter(s),ClubOfficialId,ClubOfficialId,Scheidsrechtercode,Scheidsrechter,Overige officialcode,Overige official,Scheidsrechter,Kleedkamer thuis,Kleedkamer uit,Kleedkamer official,Vertrektijd,Rijder(s),Soort wedstrijd,Thuiswedstrijd?,Kleding uitgereikt,Op terrein tegenstander?,Bondswedstrijd?,Bond/Club,Info
"","SOCCER-VE-ZO","0512","0512 Mannen Zondag standaard (A-cat)","DEFAULT_COMPETITION","13","3e klasse","382148","D","8871359","37216","Zwaluwen Utrecht 11 1","103865","1","102251","SCH'44 1","man","BBCC519","103865","BBCC67I","Zwaluwen Utrecht 11 1","man","SCH'44 1 - Zwaluwen Utrecht 11 1","","","12/04/2015","2015-04-12","14:00","BBCG19P","Sportpark "Bijleveld" - SCH'44","Sportlaan","1","","3481JD","HARMELEN","","veld 1","Gras","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Veld ZO","","true","","A. Wigchers (Scheidsrechter)","A. Wigchers (Scheidsrechter)","","","FYWP01O","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-VE-ZO","0518","0518 Mannen Zondag reserve (A-cat)","DEFAULT_COMPETITION","13","3e klasse","381244","G","8876932","42789","Zwaluwen Utrecht 11 2","189271","2","189271","Zwaluwen Utrecht 11 2","man","BBCC67I","105118","BBBZ69Q","Hoogland 3","man","Zwaluwen Utrecht 11 2 - Hoogland 3","1","1","06/04/2015","2015-04-06","11:30","BBCF51O","Sportpark "Welgelegen"- Zw. Utrec'11","Grebbeberglaan","4","","3527VX","UTRECHT","","veld 1","WeTra","Veld","meer >>","","","Uitgespeeld","","","KNVB-DISTRICT-WEST1","","uitgespeeld","","","Veld ZO","","true","Groot, J. de, Pieterse, R., Bronkers, T.L.","A. de Jong (Scheidsrechter)","A. de Jong (Scheidsrechter)","","","LZFH528","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","14","4e klasse","381504","17","9213322","114020","Zwaluwen Utrecht 11 2","189239","2","103843","Hertha 1","man","BBCC66H","189239","BBCC67I","Zwaluwen Utrecht 11 2","man","Hertha 1 - Zwaluwen Utrecht 11 2","","","10/04/2015","2015-04-10","21:05","MDYB229","Phoenix de","Hoofdweg","85-1","","3641PR","MIJDRECHT","","Phoenix veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","C.W. Wets (Scheidsrechter)","C.W. Wets (Scheidsrechter)","","","BBCM17J","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-VE-ZA","0214","0214 Mannen Zaterdag reserve","DEFAULT_COMPETITION","14","4e klasse","388649","17","9121703","97478","Zwaluwen Utrecht 11 2","201961","2","106097","Voorwaarts 4","man","BBCC81I","201961","BBCC67I","Zwaluwen Utrecht 11 2","man","Voorwaarts 4 - Zwaluwen Utrecht 11 2","","","11/04/2015","2015-04-11","11:30","BBCF50X","Sportpark "Berekuil" - Voorwaarts","Arienslaan","2","","3573PT","UTRECHT","","veld 1","Kunstgras","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZA","","true","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-VE-ZO","0518","0518 Mannen Zondag reserve (A-cat)","DEFAULT_COMPETITION","13","3e klasse","381244","G","8875621","41478","Zwaluwen Utrecht 11 2","189271","2","109735","Quick 1890 AFC 2","man","BBCC74I","189271","BBCC67I","Zwaluwen Utrecht 11 2","man","Quick 1890 AFC 2 - Zwaluwen Utrecht 11 2","","","12/04/2015","2015-04-12","11:00","LWSR38E","Sportpark "Dorrestein"- Quick A","Dorresteinsesteeg","1","","3817GC","AMERSFOORT","","veld 2","Gras","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZO","","true","","B. Akalliche (Scheidsrechter)","B. Akalliche (Scheidsrechter)","","","MHNP21B","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","14","4e klasse","381506","19","8826532","21560","Zwaluwen Utrecht 11 3","189240","3","207714","Goy 't 2","man","BBCC55D","189240","BBCC67I","Zwaluwen Utrecht 11 3","man","Goy 't 2 - Zwaluwen Utrecht 11 3","","","10/04/2015","2015-04-10","21:00","LZSF60W","Merwestein","Merweplein","1","","3432GN","NIEUWEGEIN","","Merwestein veld1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-VE-ZA","0214","0214 Mannen Zaterdag reserve","DEFAULT_COMPETITION","15","5e klasse","388670","19","9121722","97497","Zwaluwen Utrecht 11 3","216330","3","102990","Domstad Majella 3","man","BBBZ56K","216330","BBCC67I","Zwaluwen Utrecht 11 3","man","Domstad Majella 3 - Zwaluwen Utrecht 11 3","","","11/04/2015","2015-04-11","14:00","BBCD89V","Sportpark "Zoudenbalch" ","Ln van Maarschalkerweerd","15","","3585LJ","UTRECHT","","veld 1 Domstad Majella","Gras","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZA","","true","Koetsier, M.","","Koetsier, M.","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-VE-ZO","0519","0519 Mannen Zondag reserve","DEFAULT_COMPETITION","15","5e klasse","389403","18","9217944","117976","Zwaluwen Utrecht 11 3","189272","3","105729","Vriendenschaar 4","man","BBCC82J","189272","BBCC67I","Zwaluwen Utrecht 11 3","man","Vriendenschaar 4 - Zwaluwen Utrecht 11 3","","","12/04/2015","2015-04-12","11:00","BBCX06W","Sportpark "Terweijde" - Vr'schaar ","Pinksterbloem","91","","4102KD","CULEMBORG","","veld 3","","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZO","","true","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","15","5e klasse","381564","21","8827469","22497","Zwaluwen Utrecht 11 4","189241","4","223841","Vreeswijk 4","man","BBBZ37F","189241","BBCC67I","Zwaluwen Utrecht 11 4","man","Vreeswijk 4 - Zwaluwen Utrecht 11 4","","","08/04/2015","2015-04-08","22:00","BBCG593","Helsdingen","Westelijke Parallelweg","1","","4133NH","VIANEN UT","","Helsdingen veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-VE-ZA","0214","0214 Mannen Zaterdag reserve","DEFAULT_COMPETITION","16","6e klasse","388691","20","9134534","108944","Zwaluwen Utrecht 11 4","236736","4","236736","Zwaluwen Utrecht 11 4","man","BBCC67I","241968","BBBZ56K","Domstad Majella 5","man","Zwaluwen Utrecht 11 4 - Domstad Majella 5","","","11/04/2015","2015-04-11","15:30","BBCF51O","Sportpark "Welgelegen"- Zw. Utrec'11","Grebbeberglaan","4","","3527VX","UTRECHT","","veld 1","WeTra","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZA","","true","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-VE-ZO","0519","0519 Mannen Zondag reserve","DEFAULT_COMPETITION","16","6e klasse","389423","18","9225968","125999","Zwaluwen Utrecht 11 4","189480","4","189480","Zwaluwen Utrecht 11 4","man","BBCC67I","104392","BBCC357","Houten 7","man","Zwaluwen Utrecht 11 4 - Houten 7","","","12/04/2015","2015-04-12","11:00","BBCF51O","Sportpark "Welgelegen"- Zw. Utrec'11","Grebbeberglaan","4","","3527VX","UTRECHT","","veld 3","WeTra","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZO","","true","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
